tienda_id,empleados,publicidad,ubicacion,ventas
39,24.0,8760.0,rural,43429.0
29,25.0,5329.0,suburbana,45480.0
15,12.0,3319.0,suburbana,35646.0
43,21.0,3802.0,,45025.0
8,28.0,6755.0,urbana,
21,6.0,3332.0,suburbana,-2145.0
39,27.0,2793.0,urbana,58215.0
19,20.0,4122.0,urbana,42651.0
23,5.0,4420.0,urbana,43505.0
11,23.0,3653.0,urbana,68157.0
11,9.0,4092.0,suburbana,32417.0
24,26.0,6833.0,urbana,83622.0
36,27.0,5513.0,urbana,65010.0
40,29.0,3968.0,rural,57986.0
24,16.0,4144.0,suburbana,21339.0
3,,4736.0,urbana,53587.0
22,14.0,,rural,30981.0
2,22.0,4859.0,urbana,47720.0
24,8.0,6760.0,suburbana,29963.0
44,27.0,5394.0,,
30,20.0,5452.0,rural,44362.0
38,19.0,7853.0,suburbana,40436.0
2,14.0,8753.0,rural,25128.0
21,7.0,,rural,24964.0
33,5.0,1842.0,,43611.0
12,18.0,4301.0,rural,44358.0
22,2.0,6566.0,suburbana,10138.0
44,11.0,5751.0,urbana,47782.0
25,22.0,7108.0,,41126.0
49,8.0,4215.0,urbana,46666.0
27,1.0,1086.0,suburbana,14579.0
42,27.0,,rural,32567.0
28,22.0,6129.0,suburbana,45482.0
16,12.0,7123.0,suburbana,25445.0
15,2.0,,rural,
47,18.0,7821.0,rural,35007.0
44,7.0,5929.0,urbana,37985.0
3,26.0,4859.0,suburbana,61967.0
37,17.0,3746.0,rural,28242.0
7,22.0,8182.0,suburbana,61672.0
21,23.0,,rural,27911.0
9,14.0,5981.0,suburbana,27405.0
39,24.0,3537.0,urbana,79312.0
18,7.0,8228.0,suburbana,15656.0
4,22.0,5060.0,rural,54560.0
25,25.0,5598.0,urbana,61718.0
14,29.0,5146.0,urbana,66908.0
50,3.0,3468.0,rural,21627.0
9,,5639.0,urbana,72962.0
26,6.0,6393.0,suburbana,37451.0
2,20.0,4116.0,suburbana,40822.0
20,2.0,5468.0,rural,13804.0
28,17.0,5116.0,suburbana,37090.0
47,12.0,6830.0,rural,17345.0
7,12.0,4402.0,urbana,43227.0
44,17.0,5453.0,suburbana,38213.0
8,27.0,5874.0,rural,31485.0
47,10.0,4356.0,suburbana,39578.0
35,3.0,3349.0,,28660.0
14,20.0,3674.0,,45936.0
17,18.0,5818.0,suburbana,44978.0
36,13.0,4529.0,urbana,37882.0
50,12.0,4502.0,rural,28616.0
40,27.0,6208.0,suburbana,69338.0
4,27.0,7038.0,suburbana,60117.0
2,27.0,7383.0,urbana,61535.0
6,17.0,3774.0,rural,23209.0
42,4.0,6845.0,suburbana,14332.0
4,23.0,9169.0,suburbana,59955.0
29,10.0,5252.0,urbana,38635.0
18,11.0,4853.0,urbana,45979.0
26,6.0,4436.0,rural,14752.0
44,6.0,2872.0,rural,6963.0
