,tienda_id,empleados,publicidad,ubicacion,ventas
0,39,24.0,8760.0,3,43429.0
1,29,25.0,5329.0,1,45480.0
2,15,12.0,3319.0,1,35646.0
6,39,27.0,2793.0,2,58215.0
7,19,20.0,4122.0,2,42651.0
8,23,5.0,4420.0,2,43505.0
9,11,23.0,3653.0,2,68157.0
10,11,9.0,4092.0,1,32417.0
11,24,26.0,6833.0,2,83622.0
12,36,27.0,5513.0,2,65010.0
13,40,29.0,3968.0,3,57986.0
14,24,16.0,4144.0,1,21339.0
17,2,22.0,4859.0,2,47720.0
18,24,8.0,6760.0,1,29963.0
20,30,20.0,5452.0,3,44362.0
21,38,19.0,7853.0,1,40436.0
22,2,14.0,8753.0,3,25128.0
25,12,18.0,4301.0,3,44358.0
26,22,2.0,6566.0,1,10138.0
27,44,11.0,5751.0,2,47782.0
29,49,8.0,4215.0,2,46666.0
30,27,1.0,1086.0,1,14579.0
32,28,22.0,6129.0,1,45482.0
33,16,12.0,7123.0,1,25445.0
35,47,18.0,7821.0,3,35007.0
36,44,7.0,5929.0,2,37985.0
37,3,26.0,4859.0,1,61967.0
38,37,17.0,3746.0,3,28242.0
39,7,22.0,8182.0,1,61672.0
41,9,14.0,5981.0,1,27405.0
42,39,24.0,3537.0,2,79312.0
43,18,7.0,8228.0,1,15656.0
44,4,22.0,5060.0,3,54560.0
45,25,25.0,5598.0,2,61718.0
46,14,29.0,5146.0,2,66908.0
47,50,3.0,3468.0,3,21627.0
49,26,6.0,6393.0,1,37451.0
50,2,20.0,4116.0,1,40822.0
51,20,2.0,5468.0,3,13804.0
52,28,17.0,5116.0,1,37090.0
53,47,12.0,6830.0,3,17345.0
54,7,12.0,4402.0,2,43227.0
55,44,17.0,5453.0,1,38213.0
56,8,27.0,5874.0,3,31485.0
57,47,10.0,4356.0,1,39578.0
60,17,18.0,5818.0,1,44978.0
61,36,13.0,4529.0,2,37882.0
62,50,12.0,4502.0,3,28616.0
63,40,27.0,6208.0,1,69338.0
64,4,27.0,7038.0,1,60117.0
65,2,27.0,7383.0,2,61535.0
66,6,17.0,3774.0,3,23209.0
67,42,4.0,6845.0,1,14332.0
68,4,23.0,9169.0,1,59955.0
69,29,10.0,5252.0,2,38635.0
70,18,11.0,4853.0,2,45979.0
71,26,6.0,4436.0,3,14752.0
72,44,6.0,2872.0,3,6963.0
